,,,,,,,,,,,,,,,,,
     - CO 오염도,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,
경기,안산,대부동,99.55,28,672,669,0.5,0.3,1.0,2019022304,,,0.4,0.9,201902230310,,
경기,안산,호수동,99.25,28,672,667,0.6,0.0,1.6,2019022109,,,0.3,1.3,201902210209,,
경기,평택,비전동,99.40,28,672,668,0.5,0.3,0.8,2019022108,,,0.4,0.7,201902210108,,
경기,평택,안중,99.55,28,672,669,0.4,0.2,0.8,2019022109,,,0.3,0.7,201902210209,,
경기,평택,평택항,99.40,28,672,668,0.6,0.4,1.1,2019022510,,,0.5,0.9,201902250108,,
경기,평택,송북동,99.25,28,672,667,0.6,0.4,1.3,2019021308,,,0.5,1.1,201902210108,,
경기,과천,별양동,98.95,28,672,665,0.7,0.2,1.7,2019022324,,,0.6,1.3,201902210108,,
경기,과천,과천동,98.80,28,669,664,0.8,0.3,2.0,2019020604,,,0.7,1.7,201902060209,,
경기,구리,교문동,99.40,28,672,668,0.5,0.2,1.2,2019022110,,,0.4,1.0,201902210108,,
경기,구리,동구동,99.40,28,672,668,0.5,0.2,1.1,2019022103,,,0.4,1.0,201902210209,,
경기,의왕,부곡3동,99.10,28,672,666,0.8,0.3,1.7,2019022209,,,0.6,1.4,201902220209,,
경기,의왕,고천동,87.79,24,593,590,0.7,0.3,2.3,2019022302,,,0.5,1.5,201902230209,,
경기,고양,행신동,95.23,26,640,640,0.7,0.4,1.3,2019022103,,,0.6,1.2,201902210108,,
경기,고양,식사동,98.95,28,672,665,0.5,0.3,0.8,2019020610,,,0.4,0.7,201902120411,,
경기,고양,신원동,99.40,28,672,668,0.5,0.2,1.4,2019021924,,,0.3,1.2,201902212104,,
경기,고양,주엽동,99.40,28,672,668,0.5,0.2,1.4,2019020524,,,0.4,1.3,201902242205,,
경기,광주,경안동,99.25,28,672,667,0.7,0.3,1.2,2019022119,,,0.6,1.0,201902152104,,
경기,군포,당동,95.38,26,640,641,0.7,0.3,1.6,2019022324,,,0.6,1.4,201902240108,,
경기,군포,산본동,99.55,28,672,669,0.5,0.2,1.2,2019022209,,,0.4,1.0,201902210209,,
경기,시흥,정왕동,99.10,28,672,666,0.6,0.3,1.8,2019022208,,,0.5,1.4,201902220209,,
경기,시흥,시화산단,99.10,28,672,666,0.7,0.3,1.6,2019022309,,,0.5,1.3,201902220209,,
경기,시흥,대야동,98.95,28,672,665,0.7,0.3,2.0,2019022209,,,0.5,1.5,201902220209,,
"  * ""농도값*""의 값은 자료 획득률이 50% 이상이나 75% 미만인 도시의 월평균 값임.                              * ""농도값**""의 값은 자료 획득률이 50% 미만인 도시의 월평균 값임.",,,,,,,,,,,,,,,,,
  * 경남 가음정동 측정소 : 측정소 이전으로 인한 시험가동,,,,,,,,,,,,,,,,,
경기,부천,소사본동,98.80,28,672,664,0.6,0.3,2.2,2019021809,,,0.4,1.4,201902242407,,
경기,부천,내동,98.80,28,672,664,0.5,0.2,1.5,2019020524,,,0.4,1.2,201902062104,,
경기,부천,중2동,98.51,28,672,662,0.8,0.4,1.6,2019022310,,,0.6,1.5,201902062205,,
경기,부천,오정동,97.02,27,648,652,0.7,0.4,2.6,2019022107,,,0.7,1.5,201902060108,,
경기,남양주,금곡동,98.95,28,672,665,0.6,0.3,1.4,2019022109,,,0.5,1.1,201902210310,,
경기,남양주,오남읍,98.80,28,666,664,0.6,0.2,1.2,2019020210,,,0.5,1.0,201902250310,,
경기,남양주,별내동,99.25,28,672,667,0.5,0.3,1.1,2019022109,,,0.4,0.9,201902210108,,
