  3.1.5 측정소별 대기오염도 (2019년 5월),,,,,,,,,,,,,,,,,
     - SO2 오염도,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"측정소
코드","유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,24시간치,,,,
,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,
경기,수원,인계동,131112,98.92,31,736,0.004,0.002,0.016,2019051701,,,0.002,0.006,20190511,,
경기,수원,신풍동,131111,99.19,31,738,0.004,0.002,0.021,2019051702,,,0.002,0.007,20190517,,
경기,수원,광교동,131113,99.05,31,737,0.004,0.002,0.015,2019051017,,,0.003,0.006,20190510,,
경기,수원,영통동,131114,99.32,31,739,0.004,0.002,0.016,2019051701,,,0.002,0.006,20190512,,
경기,수원,천천동,131115,99.05,31,737,0.004,0.002,0.016,2019051702,,,0.002,0.007,20190512,,
경기,수원,고색동,131117,99.05,31,737,0.004,0.002,0.045,2019051624,,,0.002,0.007,20190516,,
경기,수원,호매실동,131118,99.32,31,739,0.004,0.001,0.020,2019051624,,,0.002,0.007,20190512,,
경기,안양,안양6동,131141,97.84,30,728,0.003,0.002,0.009,2019052911,,,0.003,0.005,20190523,,
경기,안양,부림동,131142,99.32,31,739,0.005,0.002,0.011,2019050319,,,0.003,0.007,20190523,,
경기,안양,호계동,131144,99.46,31,740,0.003,0.002,0.010,2019050319,,,0.002,0.005,20190503,,
경기,안양,안양2동,131145,99.05,31,737,0.003,0.001,0.011,2019050319,,,0.001,0.005,20190503,,
경기,성남,단대동,131121,99.19,31,738,0.004,0.002,0.010,2019050321,,,0.002,0.006,20190503,,
경기,성남,정자동,131123,99.19,31,738,0.004,0.002,0.011,2019050321,,,0.002,0.006,20190503,,
경기,성남,수내동,131124,99.05,31,737,0.004,0.002,0.010,2019050309,,,0.002,0.006,20190503,,
경기,성남,복정동,131126,99.32,31,739,0.004,0.002,0.010,2019050321,,,0.002,0.006,20190503,,
경기,성남,상대원동,131129,99.59,31,741,0.004,0.002,0.008,2019050304,,,0.002,0.005,20190503,,
경기,성남,운중동,131128,99.19,31,738,0.004,0.002,0.008,2019050319,,,0.002,0.005,20190503,,
경기,의정부,의정부동,131131,99.19,31,738,0.004,0.002,0.012,2019051419,,,0.002,0.006,20190523,,
경기,의정부,의정부1동,131132,99.32,31,739,0.004,0.003,0.012,2019051419,,,0.003,0.006,20190503,,
경기,광명,철산동,131161,98.52,31,733,0.004,0.001,0.018,2019050503,,,0.002,0.006,20190503,,
경기,광명,소하동,131163,95.56,29,711,0.004,0.001,0.009,2019050316,,,0.002,0.006,20190503,,
경기,안산,고잔동,131191,98.11,31,730,0.004,0.001,0.036,2019051701,,,0.002,0.009,20190512,,
경기,안산,원시동,131192,96.10,29,715,0.008,0.002,0.091,2019052321,,,0.003,0.015,20190523,,
경기,안산,본오동,131193,98.79,31,735,0.005,0.002,0.014,2019051121,,,0.003,0.007,20190512,,
경기,안산,원곡동,131194,98.65,31,734,0.006,0.001,0.074,2019050421,,,0.002,0.014,20190504,,
경기,안산,부곡동,131195,98.79,31,735,0.006,0.003,0.022,2019052320,,,0.004,0.008,20190512,,
경기,안산,대부동,131196,98.52,31,733,0.006,0.003,0.021,2019051807,,,0.004,0.007,20190503,,
경기,안산,호수동,131197,98.65,31,734,0.005,0.002,0.019,2019050420,,,0.003,0.008,20190504,,
경기,평택,비전동,131341,99.59,31,741,0.004,0.002,0.009,2019050318,,,0.002,0.004,20190501,,
경기,평택,안중,131342,99.59,31,741,0.004,0.003,0.012,2019051217,,,0.003,0.005,20190501,,
경기,평택,평택항,131343,99.73,31,742,0.009,0.002,0.068,2019051623,,,0.002,0.019,20190517,,
경기,평택,송북동,131344,99.59,31,741,0.006,0.004,0.014,2019050319,,,0.005,0.007,20190523,,
경기,과천,별양동,131201,99.46,31,740,0.004,0.001,0.011,2019052310,,,0.002,0.006,20190503,,
경기,과천,과천동,131202,99.32,31,739,0.004,0.002,0.013,2019052310,,,0.002,0.005,20190503,,
경기,구리,교문동,131211,97.58,30,726,0.004,0.002,0.011,2019051418,,,0.003,0.006,20190523,,
경기,구리,동구동,131212,96.10,29,715,0.003,0.002,0.009,2019051418,,,0.002,0.004,20190503,,
