     - PM2.5 오염도,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,측정소코드,"유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
시간
(hour)","월평균
(㎍/㎥)","황사제외 
월평균
(㎍/㎥)",24시간치,,,,,,,,
,,,,,,,,,"최저
(㎍/㎥)","최고
(㎍/㎥)",최고일,기준초과(회),초과율(%),,,,
,,,,,,,,,,,,,,,,,
경기,용인,백암면,131417,99.44,30,716,32,32,10,55,20191110,12,40.00,,,,
경기,김포,사우동,131471,99.44,30,716,23,23,8,46,20191102,3,10.00,,,,
경기,김포,고촌읍*,131472,99.72,30,718,18,18,6,39,20191102,1,3.33,,,,
경기,김포,통진읍*,131473,96.25,28,693,23,23,10,45,20191102,2,6.66,,,,
경기,오산,오산동,131531,99.44,30,716,22,21,5,44,20191103,4,13.33,,,,
경기,하남,신장동*,131541,89.72,27,646,19,18,3,33,20191101,,,,,,
경기,화성,남양읍,131551,99.30,30,715,19,19,4,46,20191103,2,6.66,,,,
경기,화성,향남,131552,99.16,30,714,29,29,10,55,20191103,5,16.66,,,,
경기,화성,동탄동,131553,99.58,30,717,26,25,10,49,20191102,4,13.33,,,,
경기,화성,우정읍,131554,99.72,30,718,29,29,8,65,20191103,7,23.33,,,,
경기,화성,청계동,131555,99.30,30,715,21,20,5,48,20191101,4,13.33,,,,
경기,양주,백석읍,131561,99.02,30,713,23,23,4,46,20191102,4,13.33,,,,
경기,양주,고읍,131562,99.02,30,713,25,25,8,51,20191103,4,13.33,,,,
경기,동두천,보산동,131571,99.44,30,716,24,24,8,41,20191102,2,6.66,,,,
경기,안성,봉산동,131581,96.11,28,692,27,27,7,58,20191103,5,16.66,,,,
경기,이천,창전동,131442,99.72,30,718,22,22,5,44,20191102,3,10.00,,,,
경기,이천,장호원읍,131443,99.58,30,717,29,29,10,55,20191101,8,26.66,,,,
경기,파주,금촌동,131371,99.16,30,714,27,28,9,48,20191102,4,13.33,,,,
경기,파주,운정*,131372,98.33,29,708,26,26,10,44,20191102,5,16.66,,,,
경기,포천,선단동,131453,95.69,28,689,25,25,6,45,20191102,6,20.00,,,,
경기,포천,일동면,131454,99.30,30,715,23,23,8,43,20191102,2,6.66,,,,
경기,여주,중앙동,131591,96.38,29,694,34,34,16,60,20191102,11,36.66,,,,
경기,연천,연천,131601,99.44,30,716,18,17,3,36,20191101,1,3.33,,,,
경기,가평,가평읍,131611,99.58,30,717,16,15,5,37,20191101,1,3.33,,,,
경기,양평,양평*,131621,98.05,30,706,20,19,7,37,20191101,2,6.66,,,,
강원,양구,양구읍,132402,96.11,30,692,20,19,6,39,20191101,2,6.66,,,,
강원,고성,상리,632441,93.05,28,670,13,12,4,35,20191101,,,,,,
