,,,,,,,,,,,,,,,,,,
     - CO 오염도,,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"측정소
코드","유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,,
울산,북구,농소동,238374,99.46,31,744,740,0.6,0.4,1.0,2019082822,,,0.5,0.9,201908181623,,
"  * ""농도값*""의 값은 자료 획득률이 50% 이상이나 75% 미만인 도시의 월평균 값임.                              * ""농도값**""의 값은 자료 획득률이 50% 미만인 도시의 월평균 값임.",,,,,,,,,,,,,,,,,,
  * 서울 중구측정소는 자료확정과정에서 이상자료 처리,,,,,,,,,,,,,,,,,,
  * 대구 진천동측정소는 건물옥상 방수공사로 인한 가동중지,,,,,,,,,,,,,,,,,,
  * 경남 하동읍측정소는 장비교체로 인한 가동중지,,,,,,,,,,,,,,,,,,
울산,중구,약사동,238376,97.84,31,721,728,0.6,0.3,1.1,2019082218,,,0.4,1.0,201908221623,,
울산,동구,전하동,238381,99.46,31,744,740,0.4,0.1,0.8,2019081710,,,0.2,0.7,201908161724,,
세종,세종,신흥동,541111,99.46,31,744,740,0.4,0.1,0.9,2019080223,,,0.1,0.6,201908032003,,
세종,세종,아름동,541112,99.73,31,744,742,0.5,0.3,1.1,2019080302,,,0.3,0.9,201908030108,,
세종,세종,한솔동,541113,99.46,31,744,740,0.5,0.2,1.0,2019080301,,,0.3,0.8,201908030108,,
세종,세종,부강면,541114,99.19,31,732,738,0.5,0.3,1.0,2019080420,,,0.4,0.8,201908032205,,
경기,수원,인계동,131112,99.46,31,744,740,0.6,0.4,0.9,2019080412,,,0.5,0.8,201908140108,,
경기,수원,신풍동,131111,99.32,31,744,739,0.5,0.4,1.1,2019080412,,,0.4,0.8,201908040512,,
경기,수원,광교동,131113,99.05,31,744,737,0.5,0.2,1.0,2019080413,,,0.4,0.8,201908050108,,
경기,수원,영통동,131114,99.46,31,744,740,0.6,0.3,0.9,2019081922,,,0.4,0.8,201908171801,,
경기,수원,천천동,131115,99.32,31,744,739,0.4,0.2,0.8,2019080412,,,0.3,0.7,201908171902,,
경기,수원,고색동,131117,99.32,31,744,739,0.5,0.2,0.8,2019081622,,,0.3,0.7,201908161522,,
경기,수원,호매실동,131118,99.19,31,744,738,0.6,0.2,1.0,2019080620,,,0.5,0.8,201908142407,,
경기,안양,안양6동,131141,92.87,28,693,691,0.4,0.2,0.7,2019082222,,,0.3,0.6,201908231801,,
경기,안양,부림동,131142,33.06,10,243,246,0.6**,0.4,0.8,2019082221,,,0.5,0.8,201908232104,,
경기,안양,호계동,131144,99.46,31,744,740,0.3,0.2,0.6,2019080322,,,0.3,0.5,201908041623,,
경기,안양,안양2동,131145,99.19,31,738,738,0.4,0.1,0.8,2019082221,,,0.2,0.7,201908220108,,
경기,성남,단대동,131121,99.32,31,744,739,0.5,0.3,0.9,2019082223,,,0.4,0.8,201908050209,,
경기,성남,정자동,131123,99.19,31,744,738,0.6,0.4,1.1,2019080508,,,0.5,0.9,201908050108,,
경기,성남,수내동,131124,99.19,31,744,738,0.6,0.2,0.9,2019081923,,,0.4,0.8,201908050108,,
경기,성남,복정동,131126,98.52,31,744,733,0.6,0.3,1.4,2019081409,,,0.5,0.9,201908050108,,
경기,성남,상대원동,131129,71.90,21,531,535,0.6*,0.3,1.1,2019082224,,,0.6,1.0,201908230108,,
경기,성남,운중동,131128,99.32,31,744,739,0.4,0.2,0.8,2019082223,,,0.3,0.7,201908232003,,
경기,의정부,의정부동,131131,99.32,31,744,739,0.4,0.2,0.7,2019080808,,,0.3,0.6,201908080108,,
경기,의정부,의정부1동,131132,99.19,31,744,738,0.5,0.2,2.0,2019082409,,,0.3,1.0,201908070613,,
경기,광명,철산동,131161,96.23,29,717,716,0.4,0.2,0.8,2019080507,,,0.4,0.7,201908042104,,
경기,광명,소하동,131163,99.19,31,744,738,0.4,0.2,0.8,2019082222,,,0.3,0.7,201908232003,,
경기,안산,고잔동,131191,99.05,31,744,737,0.4,0.3,0.6,2019082221,,,0.4,0.5,201908050209,,
경기,안산,원시동,131192,99.05,31,744,737,0.4,0.2,0.7,2019080413,,,0.2,0.6,201908200209,,
경기,안산,본오동,131193,89.11,27,667,663,0.6,0.2,1.1,2019082003,,,0.4,1.0,201908220108,,
경기,안산,부곡동,131195,98.79,31,744,735,0.4,0.2,0.9,2019081920,,,0.3,0.7,201908191724,,
경기,안산,대부동,131196,99.05,31,744,737,0.3,0.2,0.7,2019081615,,,0.2,0.6,201908181017,,
경기,안산,호수동,131197,99.05,31,744,737,0.5,0.3,1.0,2019082913,,,0.4,0.8,201908291219,,
경기,평택,비전동,131341,99.05,31,744,737,0.4,0.2,0.6,2019082312,,,0.3,0.5,201908190108,,
경기,평택,안중,131342,99.59,31,744,741,0.3,0.1,0.8,2019082313,,,0.1,0.6,201908230512,,
경기,평택,평택항,131343,98.92,31,738,736,0.3,0.2,0.7,2019082302,,,0.2,0.6,201908230108,,
경기,평택,송북동,131344,98.92,31,744,736,0.4,0.2,0.7,2019080717,,,0.2,0.6,201908221724,,
경기,과천,별양동,131201,98.92,31,732,736,0.6,0.4,1.0,2019082222,,,0.5,0.9,201908231902,,
경기,과천,과천동,131202,95.29,29,710,709,0.5,0.2,0.9,2019082222,,,0.3,0.8,201908222104,,
경기,구리,교문동,131211,99.59,31,744,741,0.3,0.2,0.7,2019082224,,,0.2,0.6,201908230108,,
경기,구리,동구동,131212,99.32,31,744,739,0.4,0.2,0.6,2019081623,,,0.3,0.6,201908230209,,
경기,의왕,부곡3동,131222,98.65,30,734,734,0.6,0.3,1.2,2019080412,,,0.5,0.9,201908200108,,
경기,의왕,고천동,131223,99.32,31,744,739,0.6,0.4,1.0,2019081908,,,0.5,0.8,201908171902,,
경기,고양,행신동,131381,98.79,31,733,735,0.3,0.1,0.7,2019081622,,,0.2,0.6,201908172003,,
경기,고양,식사동,131382,98.92,31,735,736,0.4,0.3,0.7,2019081622,,,0.3,0.6,201908171902,,
경기,고양,신원동,131384,99.19,31,738,738,0.3,0.1,0.6,2019081623,,,0.2,0.5,201908230108,,
경기,고양,주엽동,131385,99.46,31,744,740,0.4,0.2,0.8,2019082221,,,0.3,0.7,201908232003,,
경기,광주,경안동,131392,99.19,31,744,738,0.5,0.2,0.8,2019081624,,,0.3,0.8,201908230108,,
경기,군포,당동,131501,33.19,10,243,247,0.5**,0.3,0.7,2019082221,,,0.4,0.7,201908232104,,
경기,군포,산본동,131502,98.92,31,737,736,0.3,0.2,0.6,2019082221,,,0.2,0.6,201908232104,,
경기,시흥,정왕동,131231,98.92,31,744,736,0.4,0.2,0.8,2019082220,,,0.3,0.6,201908050209,,
경기,시흥,시화산단,131232,98.52,31,736,733,0.5,0.2,1.0,2019082516,,,0.3,0.8,201908291017,,
경기,시흥,대야동,131233,98.79,31,732,735,0.5,0.3,0.9,2019080508,,,0.5,0.8,201908040108,,
"  * ""농도값*""의 값은 자료 획득률이 50% 이상이나 75% 미만인 도시의 월평균 값임.                              * ""농도값**""의 값은 자료 획득률이 50% 미만인 도시의 월평균 값임.",,,,,,,,,,,,,,,,,,
  * 서울 중구측정소는 자료확정과정에서 이상자료 처리,,,,,,,,,,,,,,,,,,
  * 대구 진천동측정소는 건물옥상 방수공사로 인한 가동중지,,,,,,,,,,,,,,,,,,
  * 경남 하동읍측정소는 장비교체로 인한 가동중지,,,,,,,,,,,,,,,,,,
경기,부천,소사본동,831151,98.79,31,744,735,0.4,0.2,0.7,2019081622,,,0.3,0.6,201908231902,,
경기,부천,내동,831152,99.19,31,744,738,0.4,0.3,0.8,2019081622,,,0.3,0.6,201908050411,,
경기,부천,중2동,831153,93.41,29,691,695,0.6,0.4,1.0,2019081622,,,0.5,0.8,201908171902,,
경기,부천,오정동,831154,99.73,31,744,742,0.5,0.2,1.1,2019082121,,,0.4,0.8,201908221801,,
경기,남양주,금곡동,131241,91.26,27,674,679,0.5,0.2,0.9,2019082224,,,0.3,0.9,201908232306,,
경기,남양주,오남읍,131242,95.56,29,714,711,0.4,0.2,0.9,2019081624,,,0.4,0.7,201908171902,,
경기,남양주,별내동,131243,99.46,31,744,740,0.3,0.2,0.7,2019081624,,,0.3,0.6,201908230108,,
경기,남양주,화도읍,131244,99.19,31,744,738,0.4,0.3,0.7,2019081701,,,0.3,0.6,201908170108,,
경기,용인,김량장동,131411,98.79,31,738,735,0.4,0.2,0.7,2019082302,,,0.3,0.6,201908050613,,
경기,용인,수지,131412,99.19,31,744,738,0.5,0.3,0.8,2019080508,,,0.4,0.7,201908050108,,
경기,용인,기흥,131413,99.32,31,744,739,0.5,0.1,0.9,2019080507,,,0.4,0.8,201908050108,,
경기,용인,모현읍,131415,98.25,31,732,731,0.4,0.1,1.3,2019082510,,,0.2,0.7,201908131522,,
경기,용인,이동읍,131416,96.10,30,715,715,0.6,0.2,1.0,2019080724,,,0.5,0.9,201908061801,,
경기,용인,백암면,131417,99.32,31,744,739,0.5,0.2,1.0,2019083121,,,0.4,0.8,201908230108,,
경기,김포,사우동,131471,96.37,29,715,717,0.3,0.1,0.6,2019081622,,,0.3,0.5,201908131320,,
경기,김포,고촌읍,131472,98.79,31,736,735,0.3,0.1,0.7,2019081407,,,0.2,0.5,201908171902,,
경기,김포,통진읍,131473,98.11,31,725,730,0.3,0.2,1.2,2019082022,,,0.2,0.7,201908201623,,
경기,오산,오산동,131531,95.83,29,716,713,0.4,0.2,0.8,2019082223,,,0.2,0.7,201908230108,,
