     - CO 오염도,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,
울산,동구,전하동,99 ,31 ,738 ,740 ,1 ,0 ,1 ,2019013019 ,,,0 ,1 ,201901150613 ,,
세종,세종,신흥동,97 ,30 ,720 ,719 ,1 ,0 ,2 ,2019011324 ,,,1 ,2 ,201901140108 ,,
세종,세종,아름동,99 ,31 ,738 ,739 ,1 ,0 ,2 ,2019011410 ,,,0 ,2 ,201901140108 ,,
세종,세종,한솔동,99 ,31 ,744 ,740 ,1 ,0 ,2 ,2019011410 ,,,0 ,2 ,201901140108 ,,
세종,세종,부강면,100 ,31 ,744 ,743 ,1 ,0 ,2 ,2019012310 ,,,0 ,1 ,201901140310 ,,
경기,수원,인계동,99 ,31 ,744 ,738 ,1 ,0 ,2 ,2019012309 ,,,1 ,2 ,201901120108 ,,
경기,수원,신풍동,99 ,31 ,744 ,739 ,1 ,0 ,2 ,2019010409 ,,,1 ,1 ,201901040310 ,,
경기,수원,광교동,99 ,31 ,744 ,739 ,1 ,0 ,2 ,2019011312 ,,,1 ,2 ,201901140512 ,,
경기,수원,영통동,99 ,31 ,744 ,738 ,1 ,0 ,2 ,2019011422 ,,,1 ,2 ,201901151902 ,,
경기,수원,천천동,99 ,31 ,744 ,739 ,1 ,0 ,2 ,2019010710 ,,,0 ,1 ,201901140613 ,,
경기,수원,고색동,99 ,31 ,744 ,737 ,1 ,0 ,2 ,2019011809 ,,,1 ,2 ,201901190310 ,,
경기,안양,안양6동,99 ,31 ,744 ,739 ,1 ,0 ,6 ,2019013008 ,,,0 ,2 ,201901040815 ,,
경기,안양,부림동,92 ,27 ,683 ,684 ,1 ,0 ,2 ,2019012309 ,,,1 ,2 ,201901192104 ,,
경기,안양,호계동,99 ,31 ,744 ,738 ,1 ,0 ,2 ,2019011409 ,,,1 ,2 ,201901140310 ,,
경기,안양,안양2동,99 ,31 ,744 ,737 ,1 ,1 ,2 ,2019011410 ,,,1 ,2 ,201901140310 ,,
경기,성남,단대동,96 ,29 ,714 ,713 ,1 ,0 ,2 ,2019011407 ,,,1 ,2 ,201901140411 ,,
경기,성남,정자동,99 ,31 ,744 ,740 ,1 ,0 ,2 ,2019011411 ,,,0 ,2 ,201901140512 ,,
경기,성남,수내동,96 ,29 ,713 ,711 ,1 ,0 ,2 ,2019011409 ,,,1 ,1 ,201901140411 ,,
경기,성남,복정동,99 ,31 ,744 ,737 ,1 ,0 ,2 ,2019011410 ,,,1 ,2 ,201901140411 ,,
경기,성남,상대원동,92 ,27 ,686 ,687 ,1 ,0 ,2 ,2019011408 ,,,1 ,2 ,201901140411 ,,
경기,성남,운중동,99 ,31 ,739 ,735 ,1 ,0 ,2 ,2019011412 ,,,1 ,1 ,201901140714 ,,
경기,의정부,의정부동,99 ,31 ,744 ,740 ,1 ,0 ,2 ,2019010410 ,,,1 ,2 ,201901230209 ,,
경기,의정부,의정부1동,99 ,31 ,738 ,738 ,1 ,0 ,3 ,2019011409 ,,,1 ,2 ,201901140512 ,,
경기,광명,철산동,99 ,31 ,738 ,736 ,1 ,0 ,3 ,2019011409 ,,,1 ,2 ,201901140310 ,,
경기,광명,소하동,99 ,31 ,744 ,736 ,1 ,0 ,2 ,2019011409 ,,,1 ,2 ,201901120108 ,,
경기,안산,고잔동,100 ,31 ,744 ,743 ,1 ,0 ,2 ,2019012310 ,,,1 ,1 ,201901120310 ,,
경기,안산,원시동,100 ,31 ,744 ,744 ,1 ,0 ,2 ,2019011308 ,,,0 ,1 ,201901140108 ,,
경기,안산,본오동,100 ,31 ,744 ,744 ,1 ,0 ,2 ,2019012309 ,,,1 ,2 ,201901120411 ,,
경기,안산,부곡동,100 ,31 ,744 ,744 ,1 ,0 ,2 ,2019012310 ,,,1 ,2 ,201901230411 ,,
경기,안산,대부동,100 ,31 ,744 ,744 ,1 ,0 ,2 ,2019011420 ,,,0 ,1 ,201901141623 ,,
경기,안산,호수동,100 ,31 ,744 ,744 ,1 ,0 ,2 ,2019010409 ,,,0 ,1 ,201901040310 ,,
경기,평택,비전동,100 ,31 ,744 ,741 ,1 ,0 ,1 ,2019012309 ,,,0 ,1 ,201901051801 ,,
경기,평택,안중,100 ,31 ,744 ,741 ,0 ,0 ,1 ,2019011308 ,,,0 ,1 ,201901141724 ,,
경기,평택,평택항,99 ,31 ,744 ,740 ,1 ,0 ,1 ,2019011407 ,,,1 ,1 ,201901141421 ,,
경기,평택,송북동,99 ,31 ,744 ,740 ,1 ,0 ,2 ,2019010809 ,,,1 ,1 ,201901080209 ,,
경기,과천,별양동,100 ,31 ,744 ,744 ,1 ,0 ,3 ,2019011223 ,,,1 ,2 ,201901132205 ,,
경기,과천,과천동,99 ,31 ,744 ,737 ,1 ,0 ,3 ,2019011204 ,,,1 ,2 ,201901140310 ,,
경기,구리,교문동,99 ,31 ,744 ,740 ,1 ,0 ,2 ,2019011410 ,,,0 ,1 ,201901151902 ,,
